tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
poligrafia;;;;Szögi, Làszlò - Varga, Júlia;eds.;Universitas Budensis, 1395-1995. International Conference for the History of Universities on the Occasion of the 600th Anniversary of the Foundation of the University of Buda;Budapest;Eötvös Loránd Tudományegyetem Levéltára;1997;;;;;512
poligrafia;;;;Barotti, Carlo - Zanetel, Rosaria;a cura di;Universitas Patavina stories. La vita dell'Università di Padova raccontata da studenti ed ex studenti;Padova;Libreria Draghi;1997;;;;;269
poligrafia;;;;;;Universitates e Università. Atti del convegno, Bologna, 16-21 novembre 1987;Bologna;Bologna University Press;1995;;;;;348
monografia;;;;Maierù, Alfonso;;University Training in Medieval Europe;Leiden etc.;Brill;1994;;;;;188
monografia;;;;Soetermeer, Frank;;Utrumque ius in peciis. Aspetti della produzione libraria a Bologna fra Due e Trecento;Milano;Giuffrè;1997;;;;;433
articolo in volume miscellaneo;Roero, Clara Silvia;;Hermann promoter of the Leibnizian calculus in Italy;;;VI Intern. Leibniz-Kongress, Vorträge, vol. I;Hannover;Leibniz Gesellschaft;1994;;;;;641-648
monografia;;;;Roversi, Giancarlo;;Viaggiatori stranieri a Bologna. Impressioni d'Autore dal '500 al '900;Bologna;L'inchiostroblu;1994;;;;;281
monografia;;;;Bonoli, Fabrizio;;Vincenzo Coronelli e il globo terrestre Giovanni Enriques presso il Museo della Specola di Bologna;Bologna;Zanichelli;1993;;;;;107
monografia;;;;Nada Patrone, Anna Maria;;Vivere nella scuola. Insegnare e apprendere nel Piemonte del tardo medioevo;Torino - Cavallermaggiore;Paravia - Gribaudo;1996;;;;;240
articolo in volume miscellaneo;Esposito, Anna;;I collegi universitari di Roma: progetti e realizzazioni tra XIV e XV secolo;Weijers, Olga;a cura di;Vocabulaire des collèges universitaires (XIIIe-XVIe siècles). Actes du colloque, Leuven 9-11 avril 1992;Turnhout;Brepols;1993;;;;;80-89
monografia;;;;Bobou-Stamati, Vassiliki;;Τα καταστατικά του Σωματείου (Nazione) των Ελλήνων φοιτητών του Πανεπιστημίου της Πάδοβας (17ος-18ος αι.). Trad.: Gli Statuti della nazione degli studenti greci dell’Università di Padova, sec. XVII-XVIII;Atene;Κέντρο Νεοελληνικών Ερευνών Ε.Ι.Ε (Kentro Neoellenikön Ereunön E.I.E.);1995;;;;;212
articolo in rivista;Piergiovanni, Vito;;Cultura accademica e società civile alle origini dell' Ateneo genovese;;;;;;1995;;«Annuario dell'Università di Genova»;1994-1995;;5-11
articolo in rivista;Trombetta, Vincenzo;;La Biblioteca Oratoriana di Napoli tra rinnovamento murattiano e restaurazione borbonica (1809-1815);;;;;;1993;;«Accademie e biblioteche d’Italia»;61;3;46-62
articolo in rivista;Trombetta, Vincenzo;;La Libraria di S. Angelo a Nido. Dalla fondazione dei Brancaccio alla Repubblica napoletana del 1799;;;;;;1994;;«Accademie e biblioteche d’Italia»;62;3-4;11-43
articolo in rivista;Sitran Rea, Luciana;;Studenti istriani all'Università di Padova nella prima metà del Settecento;;;;;;1997;;«Acta Histriae»;5;;157-182
articolo in rivista;Albera, Marco;;I goliardi di 100 anni fa;;;;;;1994;;«Almanacco piemontese»;26;;113-123
articolo in rivista;Negruzzo, Simona;;Gli Agostiniani e l’Università nella Pavia del XVI secolo;;;;;;1996;;«Analecta Augustiniana»;59;;227-234
articolo in rivista;Gnolfo, Giovanni;;"Arcangelo Garino TOR, fondatore della ""Accademia dei Concili"" a Roma nel 1670";;;;;;1996;;«Analecta Tertii ordinis regularis Sancti Francisci»;27;;564-576
articolo in rivista;Pepe, Luigi;;Giovanni Scopoli e la pubblica istruzione nel Regno d’Italia;;;;;;1995;;«Annali dell’Istituto storico italo-germanico in Trento»;21;;411-433
articolo in rivista;Schubring, Gert;;The Impact of the Napoleonic structural reforms of the educational system in Europe;;;;;;1995;;«Annali dell’Istituto storico italo-germanico in Trento»;21;;435-443
articolo in rivista;Blanco, Luigi;;"Il viaggio di un funzionario. L’itinerario ""germanico"" di Giovanni Scopoli";;;;;;1995;;«Annali dell’Istituto storico italo-germanico in Trento»;21;;445-468
articolo in rivista;Scopoli, Giovanni Antonio;;Relazione di Giovanni Scopoli;;;;;;1995;;«Annali dell’Istituto storico italo-germanico in Trento»;21;;469-587
articolo in rivista;Vallerani, Massimo;;La città e le sue istituzioni. Ceti dirigenti, oligarchia e politica nella medievistica italiana del Novecento;;;;;;1994;;«Annali dell’Istituto storico italo-germanico in Trento»;20;;165-230
articolo in rivista;Brambilla, Elena;;"Università, scuole e professioni in Italia dal primo '700 alla Restaurazione. Dalla ""costituzione per ordini"" alle borghesie ottocentesche";;;;;;1997;;«Annali dell’Istituto storico italo-germanico in Trento»;23;;153-208
articolo in rivista;Mazohl-Wallnig, Brigitte;;L'organizzazione della scienza storica in Austria all'interno e all'esterno delle università;;;;;;1993;;«Annali dell’Istituto storico italo-germanico in Trento»;19;;697-740
articolo in rivista;Dröscher, Ariane;;Die Auslandsstipendien der italienischen Regierung (1861-1894);;;;;;1992;;«Annali dell’Istituto storico italo-germanico in Trento»;18;;545-572
articolo in rivista;Papagna, Elena;;Stato, baroni, università. Organizzazione e governo del territorio nella Murgia meridionale tra XVI e XVIII secolo;;;;;;1994-1995;;«Annali della Facoltà di Lettere e Filosofia. Università degli Studi di Bari»;37-38;;369-425
articolo in rivista;Bianchi, Paola;;L'Università di Torino dopo la chiusura, nella crisi dell'antico regime (1792-1798). Lo sfaldamento e la sopravvivenza dell'organizzazione didattica;;;;;;1993;;«Annali della Fondazione Luigi Einaudi»;27;;353-393
articolo in rivista;Bianchi, Paola;;Fra università e carriere pubbliche. Strategie nella nomina dei rettori dell'ateneo torinese (1721-1782);;;;;;1995;;«Annali della Fondazione Luigi Einaudi»;29;;287-389
articolo in rivista;Polenghi, Simonetta;;Spunti per una discussione sulla storiografia dell’università nell’Italia otto e novecentesca;;;;;;1996;;«Annali di storia dell’educazione e delle istituzioni scolastiche»;3;;323-330
articolo in rivista;Farinella, Calogero;;L’insegnamento e la disciplina nei collegi militari italiani: i casi di Torino e Verona ;;;;;;1996;;«Annali di storia dell’educazione e delle istituzioni scolastiche» ;3;;73-91
articolo in rivista;Moretti, Mauro - Porciani, Ilaria;;Il reclutamento accademico in Italia. Uno sguardo retrospettivo;;;;;;1997;;«Annali di storia delle università italiane»;1;;11-39
articolo in rivista;Kiene, Michael;;L'architettura del Collegio di Spagna e dell'Archiginnasio. Esame comparato dell'architettura universitaria bolognese con quella europea;;;;;;1997;;«Annali di storia delle università italiane»;1;;97-107
articolo in rivista;Cavazza, Marta;;"""Dottrici"" e lettrici dell'Università di Bologna nel Settecento";;;;;;1997;;«Annali di storia delle università italiane»;1;;109-126
articolo in rivista;Avellini, Luisa;;Le discipline letterarie nell'università postunitaria fra nazione e Europa: classicismo e comparatistica a Bologna 1860-1870;;;;;;1997;;«Annali di storia delle università italiane»;1;;127-147
articolo in rivista;Bresadola, Marco;;La biblioteca di Luigi Galvani;;;;;;1997;;«Annali di storia delle università italiane»;1;;167-197
articolo in rivista;S. Au.;;Le cere anatomiche di Clemente Susini all'Università di Cagliari;;;;;;1997;;«Annali di storia delle università italiane»;1;;201-202
articolo in rivista;Ghiara, Maria Rosaria;;Il Real Museo Mineralogico;;;;;;1997;;«Annali di storia delle università italiane»;1;;203-205
articolo in rivista;Trombetta, Vincenzo;;La Biblioteca Universitaria di Napoli. Lineamenti di un'istituzione culturale;;;;;;1997;;«Annali di storia delle università italiane»;1;;207-209
articolo in rivista;Buzzetti, Dino - Lambertini, Roberto - Tabarroni, Andrea;;Tradizione testuale e insegnamento nell'università di medicina e arti di Bologna dei secoli XIV e XV;;;;;;1997;;«Annali di storia delle università italiane»;1;;77-95
articolo in rivista;Frova, Carla;;Università italiane nel Medioevo: nuovi orientamenti per una periodizzazione;;;;;;1997;;«Annali di storia delle università italiane»;1;;213-218
articolo in rivista;Calcagno, Gian Carlo;;La Scuola per gli ingegneri dell'Università di Bologna tra Otto e Novecento;;;;;;1997;;«Annali di storia delle università italiane»;1;;149-163
articolo in rivista;Pini, Antonio Ivan;;Per una storia sociale dell' Università: i bidelli bolognesi nel XIII secolo;;;;;;1997;;«Annali di storia delle università italiane»;1;;43-75
articolo in rivista;Sottili, Agostino;;Lauree padovane (1451-1470) e pavesi (1450-1475);;;;;;1997;;«Annali di storia dell'educazione e delle istituzioni scolastiche»;4;;167-194
articolo in rivista;Sangalli, Maurizio;;Università, scuole private, collegi d'educazione, accademie a Padova tra Cinque e Seicento: alcuni spunti per una storia 'integrata' delle istituzioni scolastiche;;;;;;1996;;«Annali di storia dell'educazione e delle istituzioni scolastiche»;3;;93-118
articolo in rivista;Pazzagli, Rossano;;Agricoltura e comunicazione. Giornali, scuole e divulgazione agraria in Italia dopo l'Unità;;;;;;1997;;«Annali di storia dell'educazione e delle istituzioni scolastiche»;4;;251-264
articolo in rivista;Giovagnoli, Agostino;;Antonio Rosmini e la scienza del cuore;;;;;;1997;;«Annali di storia dell'educazione e delle istituzioni scolastiche»;4;;287-291
articolo in rivista;Prenna, Lino;;La pedagogia di Antonio Rosmini;;;;;;1997;;«Annali di storia dell'educazione e delle istituzioni scolastiche»;4;;293-296
articolo in rivista;Tasso, Luca;;Le Università minori in Europa (secoli XV-XIX);;;;;;1997;;«Annali di storia dell'educazione e delle istituzioni scolastiche»;4;;299-304
articolo in rivista;La Penna, Antonio;;I miei anni di scuola e università;;;;;;1998;;«Annali di storia dell'educazione e delle istituzioni scolastiche»;5;;261-278
articolo in rivista;Bocci, Maria;;Stato e democrazia. Un dibattito culturale nell'Università Cattolica al tramonto del regime;;;;;;1997;;«Annali di storia moderna e contemporanea»;3;;51-85
articolo in rivista;Malusà Sarchi, Lorenza;;Cinquant'anni di tesi di laurea di argomento pavese (1946-1996);;;;;;1996;;«Annali di storia pavese»;24;;49-80
articolo in rivista;Minnucci, Giovanni;;Una laurea senese in diritto canonico del 1389;;;;;;1995;;«Annuario dell’Istituto storico diocesano di Siena»;2;;151-160
articolo in rivista;Agrimi, Jole;;La ricezione della fisiognomica pseudoaristotelica nella Facoltà delle Arti;;;;;;1997;;«Archives d’histoire doctrinale et litteraire du Moyen Age»;64;;127-188
articolo in rivista;Ciancio, Luca;;"The Correspondence of a  ""virtuoso"" of the late Enlightenment: John Strange and the relationship between British and Italian Naturalists";;;;;;1995;;«Archives of Natural History»;22;1;119-129
articolo in rivista;Mattone, Antonello;;Franco Venturi e la Sardegna. Dall'insegnamento cagliaritano agli studi sul riformismo settecentesco;;;;;;1996;;«Archivio Sardo del movimento operaio, contadino e autonomistico»;47-49;;303-355
articolo in rivista;D'Addario, Arnaldo;;Per una storia della «Scuola» Archivistica Toscana;;;;;;1993;;«Archivio storico italiano»;151;556;347-447
articolo in rivista;Moscadelli, Stefano;;Teoria archivistica e informatica: qualche considerazione in merito ad un recente manuale;;;;;;1993;;«Archivio storico italiano»;151;556;527-543
articolo in rivista;Pissavino, Paolo Costantino;;Politica e accademie nella Lombardia spagnola tra Cinque e Seicento: il caso di Pavia;;;;;;1993;;«Archivio storico lombardo»;119;;71-105
articolo in rivista;Broggini, Romano;;Il centenario del Romanisches Seminar dell'Università di Zurigo e la Lombardia;;;;;;1994;;«Archivio storico lombardo»;120;;575-589
articolo in rivista;Negruzzo, Simona;;La formazione teologica e il sistema delle scuole nella Pavia spagnola;;;;;;1995;;«Archivio storico lombardo»;121;;49-101
articolo in rivista;Paoloni, Leonello ;;La scuola di chimica a Palermo: il decennio di Stanislao Cannizzaro, 1861-1871;;;;;;1993-1994;;«Archivio storico per la Sicilia orientale»;89-90;1-3;55-91
articolo in rivista;Trombetta, Vincenzo;;I regolamenti delle biblioteche napoletane (1571-1900);;;;;;1994;;«Archivio storico per le province napoletane»;112;;453-517
articolo in rivista;Trombetta, Vincenzo;;I regolamenti delle biblioteche napoletane (1571-1900). Appendice;;;;;;1995;;«Archivio storico per le province napoletane»;113;;459-525
articolo in rivista;Borrelli, Antonio;;Medicina e società a Napoli nel secondo Settecento;;;;;;1994;;«Archivio storico per le province napoletane»;112;;123-127
articolo in rivista;Borrelli, Antonio;;Istituzioni e attrezzature scientifiche a Napoli nell'età dei Lumi;;;;;;1996;;«Archivio storico per le province napoletane»;114;;131-184
articolo in rivista;Comi, Antonio;;Jacopo Belgrado e la Specola dello Studium parmense;;;;;;1997;;«Archivio storico per le province parmensi»;49;;367-377
articolo in rivista;Chiancone, Francesco M.;;L'Università e la Facoltà medica: il primo decennio;;;;;;1997;;«Archivio storico pugliese»;50;;129-143
articolo in rivista;Olivieri, Achille;;Studenti tedeschi a Padova (1461-1470): alcuni appunti sulla genesi della Riforma del '500;;;;;;1994;;«Archivio Veneto»;125;178;129-140
articolo in rivista;Zordan, Giorgio;;Il dottorato padovano di Carlo Goldoni tra fonti documentarie ed autorappresentazione;;;;;;1994;;«Archivio Veneto»;125;177;39-72
articolo in rivista;Bortolato, Emma;;L'Accademia dei Filoglotti di Castelfranco Veneto;;;;;;1994;;«Archivio Veneto»;125;178;59-91
articolo in rivista;Tavuzzi, Michael;;Giovanni Rafanelli da Ferrara († 1515). Inquisitor of Ferrara and master of the Sacred Palace;;;;;;1997;;«Archivum Fratrum Praedicatorum»;67;;113-149
articolo in rivista;Turtas, Raimondo;;Statuti della Congregazione mariana del collegio di Sassari (post 1574-ante 1580);;;;;;1993;;«Archivum Historicum Societatis Iesu»;62;;129-158
articolo in rivista;Giormani, Virgilio;;Jacob Barner e le sue lezioni di chimica e di chimica farmaceutica a Padova (1670-1672);;;;;;1994;;«Atti dell’Istituto Veneto di Scienze, Lettere ed Arti. Classe di scienze fisiche, matematiche e naturali»;152;;145-154
articolo in rivista;Giormani, Virgilio;;La scuola pubblica agli ex gesuiti: un polo medico, farmaceutico e chimico-fisico nel 1794 a Venezia;;;;;;1994;;«Atti dell’Istituto Veneto di Scienze, Lettere ed Arti. Classe di scienze fisiche, matematiche e naturali»;152;;33-61
articolo in rivista;Barbieri, Francesco;;Note di storia matematica modenese: la Società dei Naturalisti e Matematici di Modena;;;;;;1995;;«Atti della Società dei Naturalisti e Matematici di Modena»;126;;93-103
articolo in rivista;Bertoni, Italo;;Luci ed ombre nella storia dell'Università di Genova;;;;;;1991 (1992);;«Atti dell'Accademia Ligure di Scienze e Lettere»;48;;289-333
articolo in rivista;Delle Donne, Fulvio;;La fondazione dello Studium di Napoli: note sulle circolari del 1224 e del 1234;;;;;;1993;;«Atti dell'Accademia Pontaniana»;42;;179-197
articolo in rivista;Ciancio, Luca;;"""La Repubblica de' naturalisti"". Fortuna e declino della Storia naturale nel Settecento veneto";;;;;;1993;;«Atti dell'Accademia roveretana degli Agiati»;243;3;57-109
articolo in rivista;Ongaro, Giuseppe;;Contributo all'epistolario di Felice Fontana. Il carteggio con Giovanni Bianchi (Janus Plancus), 1765-1773;;;;;;1996;;«Atti dell'Accademia roveretana degli Agiati»;246;6;105-165
articolo in rivista;Benzoni, Gino;;Per un profilo dell'Italia accademica;;;;;;1994;;«Atti dell'Istituto Veneto di Scienze, Lettere ed Arti. Classe di scienze morali, lettere ed arti»;152;1;1-44
articolo in rivista;Franzoni, Lanfranco;;Le due laureae coronae di Ottavio Botturini: 1597 e 1602 ;;;;;;1994-1995 (1997);;«Atti e Memorie dell’Accademia di Agricoltura, Scienze e Lettere di Verona»;171;;181-197
articolo in rivista;Ongaro, Giuseppe;;L’insegnamento dell’anatomia nello Studio di Padova all’inizio del Settecento nella testimonianza di Giambattista Morgagni;;;;;;1992-1993;;«Atti e Memorie dell’Accademia Patavina di Scienze, Lettere ed Arti, già Accademia dei Ricovrati, Parte II. Memorie della Classe di scienze matematiche e naturali»;105;;5-37
articolo in rivista;Ongaro, Giuseppe;;Tra preformismo ed epigenesi: il carteggio Caldani-Bonnet (1780-1792);;;;;;1993-1994;;«Atti e Memorie dell’Accademia Patavina di Scienze, Lettere ed Arti, già Accademia dei Ricovrati, Parte II. Memorie della Classe di scienze matematiche e naturali»;106;;99-123
